Year,Performance
1960,Fourth place
1961,Fourth place
1962,Fourth place
1963,Fourth place
1964,Did not qualify
1965,Did not qualify
1966,Did not qualify
1967,Did not qualify
1968,Did not qualify
1969,Did not qualify
1970,Did not qualify
1971,Did not qualify
1972,Did not qualify
1973,Did not qualify
1974,Did not qualify
1975,Did not qualify
1976,Did not qualify
1977,Did not qualify
1978,Did not qualify
1979,Did not qualify
1980,Did not qualify
1981,Did not qualify
1982,Did not qualify
1983,Did not qualify
1984,Winner
1985,Winner
1986,Winner
1987,Winner
1988,Did not qualify
1989,Did not qualify
1990,Did not qualify
1991,Did not qualify
1992,Group stage
1993,Group stage
1994,Group stage
1995,Group stage
1996,Semi-finals
1997,Semi-finals
1998,Semi-finals
1999,Semi-finals
2000,Winner
2001,Winner
2002,Winner
2003,Winner
2004,Quarter-finals
2005,Quarter-finals
2006,Quarter-finals
2007,Quarter-finals
2008,Group stage
2009,Group stage
2010,Group stage
2011,Group stage
2012,Quarter-finals
2013,Quarter-finals
2014,Quarter-finals
2015,Quarter-finals
2016,Runners-up
2017,Runners-up
2018,Runners-up
2019,Runners-up
2020,Round of 16
